PRN,DO,PD,RX,TOW,CP,EC,LC,PC,PIP,PQP,TCD,CN0,Output
16,-869.5186644,2620654.612,263608.32,263608.3113,26197.34026,119829.8594,109096.9297,125067.9141,-125061.6328,1253.700806,-869.0637817,46.26757431,0
17,-1355.37405654698,26554120.9128303,491954.52,491954.431424987,148153.846436206,65906.57,53560.496,61257.52,58653.137,17671.814,-754.34509,41.422977,0
4,-264.5139091,2630890.453,262740.54,262740.5312,14852.9927,80773.4375,80773.4375,82402.00769,81846.1875,-9554.708984,-259.0396423,43.42772675,3
2,2710.39557125149,882567.662454005,491721.22,491721.217056071,-258447.723821764,90779.578,93658.438,101561.32,100848.39,-12012.662,2706.2358,45.123058,0
8,4762.388429,4811654.65,263187.82,263187.804,-592532.2433,79103.74219,82368.48438,87076.24219,87066.41406,1308.207275,4747.697754,42.14136124,0
7,3689.581055,3834964.536,263778.34,263778.3272,-717480.3634,138418.7969,140367.5,148504.1719,-146852.7969,-22084.97656,3632.336914,47.73265076,0
16,-937.6266444,2649160.903,263779.9,263779.8912,176007.6719,130048.5078,125472.9063,139183.9375,-139128.0156,-3945.110352,-869.1880493,47.12748718,2
25,4544.38848137325,27082219.6945776,491941.54,491941.449702,-666501.660525047,69166.305,84359.984,81241.656,-78735.039,-20025.006,4545.0923,40.883324,2
3,-1679.10304800367,28208212.8755383,491925.48,491925.38590753,259729.698413529,72288.422,66271.891,80774.406,-77404.758,23086.979,-1697.1658,40.429005,0
6,916.701147617136,23664688.3738002,491984.08,491984.001063096,-108087.631873639,104379.22,87128.32,102626.33,-99810.313,23876.014,920.07147,45.998848,0
31,-2145.498083,-1710030.921,173886.12,173886.1257,72398.96627,59033.8125,68145.53906,80996.39844,78676.50781,19246.39844,-2266.815186,39.95645142,0
9,1633.644131,2261560.87,263450.02,263450.0125,-75513.30364,123856.4531,131746.5156,138878.75,138673.0781,-7555.485352,1615.723511,46.54001617,0
4,-909.158399,2687446.366,263875.44,263875.431,53275.12786,113549.1719,107489.8906,128302.0234,-128091.2344,-7351.524414,-934.9526978,45.38716125,0
11,3219.4818721603,403425.1611,491719.72,491719.718654319,-281970.628458553,99990.898,112803.81,127361.27,123711.61,30270.943,3197.7813,46.787807,1
30,4242.735312,6734343.304,263588.08,263588.0575,-161469.2992,59048.34375,69403.99219,67742.53125,66867.65625,10852.05176,4237.655273,42.83422852,0
2,2657.08590877291,24772458.135463,491904.72,491904.637367974,-401636.781659106,132107.08,111471.05,135534.73,134855.25,13554.578,2557.6318,46.56332,0
4,-569.2210014,2647192.032,262959.32,262959.3112,29943.49722,98432.45313,103411.3516,116719.3359,-116583.2734,5634.081543,-457.2084656,46.14393234,0
16,-860.661866,2645818.949,263760.32,263760.3112,158449.1246,87145.32031,92963.01563,102510.4844,102446.7266,3614.950195,-864.373291,45.74517441,2
27,3526.000429,3824222.761,263025.84,263025.8272,-236861.86,102052.5391,115375.2422,124025.6953,-123136.0625,14828.47656,3469.545166,45.6075058,0
19,-283.664953840416,515924.866567342,491742.72,491742.71827906,126450.482699975,148105.42,152194.67,167026.84,166888.73,6791.0552,-879.63,47.656212,0
9,3318.889785,-2539400.295,173692.38,173692.3885,-233172.6826,86167.39844,93799.29688,96216.03125,-95629.10938,10611.20313,3318.086182,40.44903161,1
7,3673.966886,4043230.027,263472.34,263472.3265,-252556.8035,120554.5234,114323.4453,123913.9688,-123879.1406,-2937.782227,3691.379883,45.85351181,0
3,-1696.21105904228,28207489.001418,491923.22,491923.125909945,255906.666639785,63518.488,52309.809,69927.008,69403.305,8542.126,-1680.5319,40.193237,0
6,827.123160782211,23657641.831808,492028.78,492028.701086601,-145244.485966671,127734.95,139967.02,148265.354407071,-144023.7,35798.559,823.95746,45.573895,3
9,1849.200544,2418932.551,263239.5,263239.4919,-73478.58417,119502.0,116615.9297,125647.8438,-125596.5313,3590.520752,1850.660522,47.08618546,0
4,-495.8625045,2664456.447,263132.94,263132.9311,37327.26225,109832.1406,105623.8828,130785.0234,-129733.8672,-16548.31445,-507.494812,45.97415161,2
9,2187.165416,2616984.171,262725.66,262725.6513,-67017.92488,133109.2969,120336.6719,143703.5781,143696.1719,1458.757324,2189.233887,47.54801559,0
27,4482.772753,26577470.42,174139.08,174138.9913,-165287.2041,136163.6719,123955.9297,148188.9844,144643.5,32221.64648,4487.791992,45.52209091,0
11,3041.46188376846,24200059.7942875,492036.44,492036.35927729,-871446.751398536,107207.75,123226.72,125808.58569322,-124052.81,-20945.18,3055.8096,46.48074,3
9,3440.757016,-5304137.592,173875.78,173875.7977,-103549.9489,86146.04688,99008.35938,100556.9219,-99966.58594,10880.05176,3408.489746,43.8684082,0
4,820.4535219,23378164.04,174221.84,174221.762,-106361.3836,154253.5625,144634.1406,169499.7031,-167032.8906,28812.54492,812.703125,48.8307969,1
4,-468.1682076,2655230.751,263040.56,263040.5511,72184.85818,96880.99219,104100.7109,110814.5,109136.3359,-19212.32422,-548.9179077,45.63721466,0
26,-1486.057916,25028697.92,173970.86,173970.7765,113441.4651,131369.7031,148131.7969,159416.4063,-157558.0625,24270.26758,-1548.929688,48.99346161,0
4,-327.4260552,2637500.749,262846.4,262846.3912,49515.7179,88844.70313,79843.50781,86244.89063,85483.96094,11431.2334,-325.4918518,42.80977249,0
26,-1623.067622,25090064.21,174177.38,174177.2963,218924.4312,152102.4375,135482.6875,158778.7969,158770.9219,1582.091675,-1570.107178,48.23175049,0
9,1994.790124,2504533.659,263009.2,263009.1916,-216638.1277,119552.7344,116368.3594,123953.1875,122870.5156,16347.1377,1971.468506,45.53988647,0
27,3618.425438,3961779.991,262821.18,262821.1668,-456264.3686,107179.2422,132996.5313,130727.9531,115825.4609,-60615.67969,3650.764893,45.2857399,0
8,4467.704679,4510254.347,263433.56,263433.545,-125473.3596,116927.4688,104756.1719,118670.4609,-118468.4453,-6921.374512,4446.754395,45.2094574,0
9,1853.199957,2413358.756,263255.32,263255.3119,-102759.7677,125059.5156,122098.0078,140064.9063,138570.6563,-20404.63477,1840.341431,46.36174011,0
27,3609.942872,3968842.383,262810.92,262810.9068,-419159.8652,110951.1406,103065.0781,120776.4063,118282.2344,-24418.30859,3739.876709,44.76968384,0
8,4607.012826,4637254.389,263386.92,263386.9045,-302945.9758,88562.77344,78554.88281,98941.15625,98912.4375,2383.699707,4586.610352,44.75289154,0
25,4542.23036479765,27082410.607219,491941.32,491941.229702,-665503.227676079,71169.438,65303.605,78621.758,72396.039,-30662.584,4530.5088,41.167164,2
8,4464.888919,3259397.758,263973.08,263973.0691,-98987.36008,88978.09375,86337.94531,104651.125,104051.2578,-11188.97754,4453.533691,43.14943314,0
2,2900.65364766904,873776.871523001,491738.12,491738.117085394,-304711.372620212,91691.82,95146.992,106314.77,-8915.6602,105940.27,2889.2671,45.969402,0
9,1614.775861,2249522.787,263488.8,263488.7925,-138756.665,114453.1328,95510.02344,113699.8281,113298.75,9541.683594,1635.013062,46.36510849,0
16,1273.258104,-3913359.335,173828.7,173828.7131,-69739.18118,127449.8438,123954.2266,140421.875,-140385.7656,3184.299316,1229.430054,46.85431671,0
17,-1360.57067279805,26553115.5658602,491950.64,491950.55142834,142843.458405372,126487.03,109954.92,121636.2,-119795.69,21079.838,-746.23175,43.115299,0
4,842.3733367,23379899.17,174211.12,174211.042,-97227.3268,137966.1563,155680.4219,163391.8125,-159269.3281,-36471.42188,901.5239258,49.24545085,1
4,-915.629616,2690196.176,263891.28,263891.271,67712.5135,124100.0703,121327.7422,135179.9375,-135166.4688,-1907.763916,-917.6085815,43.17298508,0
27,3632.924041,3978481.435,262796.94,262796.9267,-368505.272,130062.1953,131250.1719,145931.0,144146.9063,22749.23828,3772.491699,46.056427,0
12,3537.02233950835,809763.115948939,491608.68,491608.677298921,-140233.203185969,130228.76,128251.2,142433.55,-140513.3,-23309.439,3438.7678,46.491547,0
9,1983.558146,2454026.759,263143.8,263143.7918,-179527.04,154288.6406,154136.0156,176157.3594,-174329.875,-25308.31055,2000.114746,46.47802734,0
16,-495.23271,2628046.267,263049.96,263049.9512,77176.16373,131187.4844,113354.5625,133257.4063,131333.3594,-22562.9082,-525.8219604,43.63195038,0
30,4292.116361,6683606.626,263650.6,263650.5777,-428078.855,88983.16406,98125.72656,106674.4844,105465.7188,-16013.35449,4259.157227,43.63284683,0
27,3059.272779,3200036.212,263896.64,263896.6293,-161013.2246,113457.6172,129262.0078,143327.9219,-142626.875,-14158.71582,3023.355469,44.82229614,0
7,3835.801611,4285961.843,263254.5,263254.4857,-134798.4862,148922.375,146135.7969,161162.2344,161019.1719,6789.077148,3819.513916,47.67309189,0
30,4422.135612,6843873.896,263453.96,263453.9372,-179419.1869,90715.53125,93211.32031,113139.0938,-112121.0781,-15143.23633,4398.97168,45.09697754,1
19,-882.518380255943,24547289.8801837,492033.92,492033.838119055,100749.994521125,151563.25,145937.36,141243.073167934,156638.42,13649.432,-874.7832,48.043491,3
26,-2107.055701,5580113.024,263386.42,263386.4014,171249.5518,77622.3125,66878.04688,83172.69531,-81233.875,17853.72266,-2249.79541,43.73609932,1
9,3322.394797,-2542638.252,173697.5,173697.5085,-250183.6766,78131.85938,107273.2422,94923.50781,94031.17188,12985.00879,3323.687744,39.8922639,1
26,-1626.257284,25087613.6,174169.44,174169.3563,206059.855,161530.9688,143331.8594,161322.7188,161203.5781,6198.763184,-1559.977051,48.79692459,0
16,-1117.908755,1929043.995,264101.06,264101.0536,107353.2304,90857.72961,79681.9372,103410.9094,-103033.2813,-8829.44653,-1193.260254,45.05685425,3
17,-1320.60217549377,26568052.7965942,492008.3,492008.211378507,221433.808548487,100440.82,54189.484,84902.6059239856,-84726.836,5460.3804,-851.6358,42.177216,3
9,1426.099573,2135622.927,263893.18,263893.1729,-103389.2833,147129.9688,119107.4766,149281.2188,-148509.1719,-15162.67969,1435.864502,47.71392059,0
16,-856.1303821,2625752.179,263639.32,263639.3112,52978.18402,107716.5859,132883.9844,131535.8125,131049.8203,11296.59766,-859.2832642,45.9118309,0
2,2712.3932557693,838786.519120081,491805.52,491805.517202109,-140279.623324484,119427.8,108005.12,133908.02,-133851.84,-3878.248,2665.6389,45.726372,0
2,2703.14558139928,884339.44755712,491717.8,491717.797050161,-249156.449309551,142519.78,147311.47,165332.17,-162955.72,-27931.402,2703.2549,45.541302,0
27,3301.154746,3659435.194,263279.8,263279.7878,-268622.6573,159623.1094,153129.3594,167124.4688,-164981.5781,-26677.08789,3285.460205,47.43286896,0
26,-2182.606439,5526608.108,263468.7,263468.6816,108838.7791,73316.27344,71552.84375,82345.17188,-81200.50781,-13682.29199,-2146.454346,39.65352631,0
9,3322.500435,24620803.47,173962.6,173962.5179,-191683.3957,87076.53125,71130.83594,89388.52344,89384.99219,-794.8179932,3258.556641,43.88402557,0
27,3209.435998,3435411.825,263503.12,263503.1085,-318363.5219,112016.9531,97567.45313,113150.8438,113032.2891,5178.331543,3185.250244,46.52418137,0
27,3193.936159,3359995.211,263626.46,263626.4488,-153952.5061,102542.2266,105897.1953,112375.8906,-112166.1406,6862.839355,3187.315918,46.08713913,0
